transaction_amount,transaction_card_type,transaction_ecommerce_website_name,transaction_country_name,transaction_datetime,transaction_id,transaction_city_name,transaction_product_name
301.51,Maestro,www.flipkart.com,France,2019-05-17 17:13:16,1,Paris,Desktop Computer
291.19,Maestro,www.snapdeal.com,France,2019-05-17 10:25:49,2,Paris,Desktop Computer
187.26,MasterCard,www.flipkart.com,United Kingdom,2019-05-17 13:20:27,3,London,Desktop Computer
175.78,Visa,www.snapdeal.com,United States,2019-05-17 08:13:37,4,New York City,HDMI Cable
249.65,Visa,www.snapdeal.com,India,2019-05-17 00:21:40,5,Pune,Wrist Band
467.66,Maestro,www.flipkart.com,India,2019-05-17 14:10:26,6,Kolkata,Wrist Band
398.43,MasterCard,www.ebay.com,Singapore,2019-05-17 10:43:49,7,Singapore,Mobile Phone
341.7,Maestro,www.amazon.com,Singapore,2019-05-17 18:12:51,8,Singapore,HDMI Cable
13.74,MasterCard,www.snapdeal.com,Thailand,2019-05-17 11:59:18,9,Bangkok,TV
116.61,Maestro,www.snapdeal.com,Thailand,2019-05-17 17:32:25,10,Bangkok,HDMI Cable
411.54,Maestro,www.amazon.com,India,2019-05-17 05:36:15,11,Hyderabad,Laptop
10.63,Visa,www.snapdeal.com,United States,2019-05-17 17:45:33,12,New York City,Text Books
194.0,MasterCard,www.flipkart.com,Italy,2019-05-17 16:58:16,13,Rome,HDMI Cable
11.96,MasterCard,www.flipkart.com,Israel,2019-05-17 07:14:49,14,Jerusalem,Text Books
328.37,Visa,www.flipkart.com,United States,2019-05-17 11:30:22,15,New York City,Laptop
190.65,Maestro,www.snapdeal.com,France,2019-05-17 23:55:44,16,Paris,HDMI Cable
33.76,Maestro,www.flipkart.com,United States,2019-05-17 01:04:54,17,New York City,HDMI Cable
400.32,Maestro,www.flipkart.com,India,2019-05-17 17:15:39,18,Mumbai,Pen Drive
334.45,Visa,www.flipkart.com,India,2019-05-17 08:12:57,19,Chennai,External Hard Drive
507.24,Visa,www.flipkart.com,India,2019-05-17 15:03:25,20,Pune,TV
243.13,MasterCard,www.amazon.com,Thailand,2019-05-17 09:46:25,21,Bangkok,TV
177.2,Visa,www.ebay.com,Italy,2019-05-17 00:52:58,22,Rome,HDMI Cable
453.41,Visa,www.amazon.com,United States,2019-05-17 15:55:06,23,New York City,TV
134.59,MasterCard,www.amazon.com,Thailand,2019-05-17 06:04:46,24,Bangkok,HDMI Cable
313.17,Visa,www.ebay.com,India,2019-05-17 08:46:12,25,Mumbai,Pen Drive
297.6,MasterCard,www.snapdeal.com,India,2019-05-17 20:56:54,26,Chennai,Laptop
16.56,Visa,www.flipkart.com,India,2019-05-17 02:11:45,27,Kolkata,LAN Cable
354.36,Visa,www.snapdeal.com,France,2019-05-17 19:04:44,28,Paris,Laptop
480.12,Visa,www.flipkart.com,India,2019-05-17 13:15:21,29,Hyderabad,TV Stand
383.77,Maestro,www.flipkart.com,India,2019-05-17 15:45:43,30,Mumbai,Mobile Phone
33.68,MasterCard,www.snapdeal.com,India,2019-05-17 17:52:05,31,Mumbai,LAN Cable
415.24,Visa,www.snapdeal.com,India,2019-05-17 22:49:47,32,Mumbai,Text Books
440.12,Maestro,www.snapdeal.com,India,2019-05-17 21:51:25,33,Pune,TV Stand
490.51,Visa,www.snapdeal.com,India,2019-05-17 16:24:30,34,Kolkata,Wrist Watch
17.68,MasterCard,www.snapdeal.com,Thailand,2019-05-17 01:43:17,35,Bangkok,Mobile Phone
454.64,MasterCard,www.amazon.com,Israel,2019-05-17 01:15:12,36,Jerusalem,Text Books
254.94,MasterCard,www.snapdeal.com,India,2019-05-17 18:18:42,37,Pune,Desktop Computer
231.85,MasterCard,www.ebay.com,France,2019-05-17 00:00:02,38,Paris,External Hard Drive
512.75,Visa,www.ebay.com,Israel,2019-05-17 01:15:24,39,Jerusalem,Pen Drive
320.07,MasterCard,www.flipkart.com,Israel,2019-05-17 12:53:35,40,Jerusalem,Desktop Computer
450.84,Visa,www.amazon.com,Singapore,2019-05-17 06:55:34,41,Singapore,Wrist Band
487.76,Maestro,www.snapdeal.com,France,2019-05-17 20:51:56,42,Paris,HDMI Cable
484.76,Maestro,www.ebay.com,United States,2019-05-17 09:44:11,43,New York City,Wrist Watch
406.59,Maestro,www.ebay.com,France,2019-05-17 04:25:42,44,Paris,Mobile Phone
234.0,Maestro,www.snapdeal.com,United Kingdom,2019-05-17 07:46:42,45,London,Laptop
258.28,Visa,www.snapdeal.com,Israel,2019-05-17 16:53:23,46,Jerusalem,HDMI Cable
538.69,Maestro,www.snapdeal.com,United States,2019-05-17 12:28:55,47,New York City,TV
530.93,Maestro,www.snapdeal.com,India,2019-05-17 23:10:45,48,Chennai,Mobile Phone
233.69,MasterCard,www.flipkart.com,Israel,2019-05-17 23:35:37,49,Jerusalem,LAN Cable
201.55,Maestro,www.ebay.com,Thailand,2019-05-17 11:02:19,50,Bangkok,Wrist Watch
132.73,Maestro,www.ebay.com,India,2019-05-17 06:17:51,51,Mumbai,Text Books
256.07,Maestro,www.amazon.com,France,2019-05-17 04:41:51,52,Paris,TV Stand
343.1,Maestro,www.ebay.com,Singapore,2019-05-17 05:59:34,53,Singapore,HDMI Cable
17.17,MasterCard,www.flipkart.com,Italy,2019-05-17 06:08:05,54,Rome,Wrist Band
408.71,MasterCard,www.snapdeal.com,India,2019-05-17 14:45:27,55,Hyderabad,Laptop
537.8,MasterCard,www.flipkart.com,India,2019-05-17 11:00:10,56,Chennai,Mobile Phone
333.99,MasterCard,www.ebay.com,Thailand,2019-05-17 10:57:16,57,Bangkok,Pen Drive
16.53,Visa,www.ebay.com,United Kingdom,2019-05-17 22:13:54,58,London,External Hard Drive
170.15,MasterCard,www.ebay.com,United Kingdom,2019-05-17 15:04:44,59,London,LAN Cable
446.1,MasterCard,www.snapdeal.com,India,2019-05-17 12:06:52,60,Mumbai,Text Books
420.71,Visa,www.snapdeal.com,India,2019-05-17 05:58:35,61,Chennai,LAN Cable
460.9,Maestro,www.amazon.com,India,2019-05-17 21:03:17,62,Kolkata,Pen Drive
308.0,Visa,www.amazon.com,United States,2019-05-17 11:36:41,63,New York City,Laptop
442.33,Visa,www.snapdeal.com,France,2019-05-17 06:12:35,64,Paris,External Hard Drive
386.11,Visa,www.amazon.com,India,2019-05-17 18:58:38,65,Hyderabad,TV
125.77,Maestro,www.ebay.com,India,2019-05-17 05:24:08,66,Pune,Wrist Watch
473.77,Visa,www.flipkart.com,Thailand,2019-05-17 19:22:16,67,Bangkok,TV
500.92,Maestro,www.amazon.com,India,2019-05-17 10:34:03,68,Mumbai,External Hard Drive
344.85,Visa,www.snapdeal.com,India,2019-05-17 14:52:46,69,Hyderabad,Text Books
406.55,Visa,www.amazon.com,India,2019-05-17 07:23:28,70,Hyderabad,TV
358.93,MasterCard,www.flipkart.com,India,2019-05-17 03:43:13,71,Bangalore,TV Stand
471.77,Maestro,www.flipkart.com,France,2019-05-17 04:49:56,72,Paris,Laptop
80.32,Visa,www.ebay.com,India,2019-05-17 12:07:00,73,Pune,TV
436.94,Maestro,www.ebay.com,India,2019-05-17 08:19:12,74,Bangalore,TV Stand
84.97,Maestro,www.amazon.com,United Kingdom,2019-05-17 22:05:07,75,London,HDMI Cable
320.89,Visa,www.amazon.com,Thailand,2019-05-17 07:01:38,76,Bangkok,External Hard Drive
31.15,Visa,www.ebay.com,Israel,2019-05-17 03:44:38,77,Jerusalem,LAN Cable
549.9,Maestro,www.ebay.com,United Kingdom,2019-05-17 15:24:39,78,London,Desktop Computer
335.53,MasterCard,www.ebay.com,Israel,2019-05-17 18:18:47,79,Jerusalem,Text Books
432.78,Maestro,www.snapdeal.com,United States,2019-05-17 10:55:42,80,New York City,Wrist Watch
366.72,Visa,www.flipkart.com,India,2019-05-17 14:33:29,81,Bangalore,Text Books
